,amazon_tweets
0,"𝗞𝗞𝗥 𝗙𝗶𝗹𝗺𝘀 𝗘𝗽. 𝟰: Coach McCullum says he’s the Michael Jordan of T20 Cricket, but what makes him the player he is?… https://t.co/XJ7YdYg8Fb"
1,"Initially unsold in '14, 𝙈𝙑𝙋 the next year. 💪🏼
A story of inspirational comebacks, on and off the field. 

Russell:… https://t.co/Na2SCICZcP"
2,"#Mi11XPro: A Cut Above The Best!💪

📱#Snapdragon888
📱#120Hz #E4 #AMOLED
📱#DisplayMate A+
📱#1300nits bright
📱#108MP c… https://t.co/mlnQy5cDtK"
3,"Hey @amazonIN , I ordered a book from amazon, returned it and now I am being told (after asking on your customer se… https://t.co/eb3o1JPIES"
4,My amazon account has been blocked my @amazonIN without any reason.they cancelled my order and not refunding my mon… https://t.co/NgSPVF9ReV
5,DK HOME APPLIANCES Professional Series Finger Tip Pulse Oximeter with Audio... https://t.co/gVUfZJKpDI via @amazonIN
6,"Can we involve e-com like @Flipkart @amazonIN @zomato @swiggy_in etc to list verified oxygen (cylinder/ refill),con… https://t.co/7Eszgkq93l"
7,Team Amazon Besharmi ki had Kardi Apne 29 April my order still not shipping 20. Days over @JeffBezos @amazonIN
8,"Dear @amazonIN 

I'm not able to login to my account. Also I'm not getting any OTP on my mobile number. When I logi… https://t.co/h20ULA0fGn"
9,"Theme of the month for @PrimeVideoIN subscribers is here! Download #PirateTheme ⛵ Now! 

Login with Amazon Prime ac… https://t.co/Is3ub2czk8"
10,"Very bad experience get from @Flipkart 
I think @amazonIN  will provide me best service."
11,"Stop, Look, Go! PARENTING, THE CHANGING NORMS, THEN AND NOW. by SIVARAM RAG... https://t.co/f3IWkw8nOu via @amazonIN"
12,"This month I thought to purchase grocery stuff online. So I tried to compare D-Mart price with @amazonIN 
In below… https://t.co/xVEGtYY6Gp"
13,I prefer @Flipkart over @amazonIN when it comes to buying books. The quality of books delivered by Amazon is mostly… https://t.co/j4cNfOp8Xe
14,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
GOT SERIOUS power. https://t.co/jPTaSkdZ8p"
15,A few days ago I bought a WI-C400 and It was my bad choice cause its one wire is cracked from many places! That's h… https://t.co/ufpHmRtWhn
16,"My Favourite Feature is Super Amoled Display 😍❤️
#FasterMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/X08HHkJDLw"
17,"hey @Uber_India, @amazonIN and @NetflixIndia haaaaaaaave you met @getsimpl?  #KeepItSimpl"
18,"Some thing is happening, though too little, too late. Many many more corporations will have to come together and DO… https://t.co/V6YovNF6tL"
19,"Are you guys serious?? Sent not for sale item and it is already used by someone else. 

Send tester product and don… https://t.co/94hJBQqQ8p"
20,"#GalaxyM42Quiz
#AmazonQuiz @amazonIN
I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/wNcURCU3tw"
21,Giving keeps you very light..there is no baggage and it gives you the wings to fly. So be a giver not a taker -… https://t.co/me6IMNvzK7
22,"Be it a backyard movie night or midnight storytelling at home, this portable and easy to use, #NebulaMars 2 makes i… https://t.co/iajGdqwYYA"
23,Waiting😇😇 #FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/mQinuSiiCM
24,"Hi @amazonIN
the package has been out for delivery from last 25 hours. I assure you commuting around Jaipur isn't a… https://t.co/aAZcBj3Hyp"
25,"I played this interesting FunZone Slot machine game-Try playing now!! Try your luck @amazonIN 
@amazon… https://t.co/6bh6NDDqHv"
26,"I played this interesting quiz on Amazon and try your luck 
@amazonIN @amazon
#AmazonFunzoneSlots https://t.co/DjpD3hAcul"
27,Proud to be a part of @amazonIN Working here from 1 year many thinhs to learn can be a good leader and has better a… https://t.co/E19hP0Io0y
28,LOL. Conflicting messages from @amazonIN @AmazonHelp https://t.co/xrWDgbjXXE
29,"I bought this oximeter in February end for INR1549. Today it is INR4699. Is this not fraud, or will you just say De… https://t.co/pPRVXqKChF"
30,"Try your luck 
SpinandWin Contest
@amazon @amazonIN  #AmazonSpinandWin 
#AmazonSpinandWin https://t.co/ufJjgOoXsT"
31,"Hey, @amazonIN I'm trying to order a pair of earphones and it is showing that they would be delivered on May 1-2. W… https://t.co/agsk2jZsK3"
32,Wow!! I came across this amazing smartphone #SamsungM42 on @amazonIN which truly deserves the title of… https://t.co/XHkqbkMXKX
33,"S J.D. @SJD72489404 
#AmazonQuiz 
#GalaxyM42Quiz
Thanks Amazon for Contest 👍
@amazonInQuiz 
@amazonIN 
@amazon https://t.co/jOWknVjKGB"
34,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 
Most exciting 5G mid range phone ever a real monster I hope wi… https://t.co/9DP0O3H1TC"
35,"Its  72 Days
Now

More than 70 days over ...... still I don't know the reason of account hold/suspension. Slow-movi… https://t.co/PFwWM0oJNz"
36,"🏆 #AmazonSpinandWin - Win ₹ 5,000, ₹ 3,000, ₹ 2,000 and more 
✨ Amazon Fashion Spin and Win Quiz 
⏳  27 April - 5 M… https://t.co/wpSs4UXuY8"
37,I was astonished when I saw the beast #SamsungM42 today evening on @amazonIN . I was thinking it would be a near 30… https://t.co/zWDEoQxzv5
38,"The fastest monster #SamsungM42 is secured by Knox.. It's having secure folder, Quick switch features which I love… https://t.co/NduNC5YuBS"
39,"👉We bought a robotic iLife S7 vaccum cleaner fm @amazonIN
👉Amazon sent me S5 instead, looks ditto as S7
👉We raised… https://t.co/6n8PiI2ZUC"
40,I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/VZoTUj8PgM @amazonIN… https://t.co/ghLO0eSqnI
41,Tried @getsimpl today.Awesome exp.Hope to use it soon on @Uber_India and @amazonIN  #KeepItSimpl
42,"I had ordered this for my friend. See, what he got. Only spoons. This is highly unprofessional and not expected fro… https://t.co/ybnfyqUyyT"
43,"Item missing in the package, complaint filed against @amazonIN  

#amazon
#AmazonIndia 

https://t.co/OLYwebxXSq"
44,Had a problem with my @amazonIN acct and just wanted to give a shout-out to “Yadav P” in their customer care servic… https://t.co/K8DzQoYL3T
45,"What is the meaning of in stock on may 2, 2021.
Should i wait for four more days to *buy* a mobile?????? 
Finally,… https://t.co/siVI8T8MPU"
46,"Stop using @Flipkart , there are cheaters, no one respond correctly on this..@amazonIN is much more trusted then yo… https://t.co/sfdwq2WkmX"
47,"Best battery
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/dZahLT7h4g"
48,For your reference @amazonIN https://t.co/QlRSFyiK11 https://t.co/vu3jbt6qIJ
49,"When it will get delivered to me?
At midnight 1 AM?
@amazonIN @AmazonHelp
@trackonindia https://t.co/odMcne0pwi"
50,I won GoPro hero 9 in amazon fun zone  #Amazon #AmazonQuiz #AmazonFunzoneSlots #funzone #gopro9 @amazonIN @amazon https://t.co/RYM3Q7LGaT
51,"Samsung Lover
#FastestMonster @amazonIN @SamsungIndia #SamsungM42 https://t.co/gHhOhRLaiR"
52,"Dear @amazonIN ,

I'm not able to track &amp; get any details of this order(see attached),plz help me get the same.… https://t.co/Y8sLq8h3tf"
53,#AmazonFunzoneSlots @amazonIN done and hope to win https://t.co/W82DiAUWvM
54,"I waiting for ths  Samsung awsome fetures #FastestMonster , @amazonIN ,@SamsungIndia, #SamsungM42 https://t.co/eTPsvaQBf6"
55,"It's my favt feature.
And I liked that this secured by Knox. 😍😁
#FastestMonster @amazonIN 
@SamsungIndia #SamsungM42 https://t.co/QjHmVqbIKC"
56,Amazon India won’t deliver bulbs I think they don’t consider light bulbs essential goods kya? @amazonIN
57,"#GalaxyM42Quiz

@amazonIN

I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/8BMFiSCHMz"
