,Flipkart_tweets
0,Poonawala is doing it like those 'Big Dhamaka' sales by Amazon &amp; Flipkart where first they increase MRP &amp; then give… https://t.co/sf4Vy8s23t
1,"Which is your favourite feature of the #realme8 5G?

1) MediaTek Dimensity 700 5G Processor 
2) 5000mAh Massive Bat… https://t.co/WYWjfJSSMF"
2,Time to capture and #DelightEveryMoment with #vivoV21. The 44MP OIS Night Selfie mode captures perfect selfies even… https://t.co/hr3vRgrwng
3,"This is ridiculous just connected with Cc he told me will get back in 24hrs n got this email, they not even tried t… https://t.co/ST6RqLqMnb"
4,This is what happens with me I bought a watch from Flipkart with ₹ 530 MRP on it and Flipkart took it from me for ₹… https://t.co/vyLVa0snME
5,"Be your happiest self. 
With SwatchShil, keep intimate hygiene concerns at bay and live #HappinessWithin!
.
Buy a S… https://t.co/z0lvdk1EP3"
6,"Dear @Flipkart where is my order. It was supposed to reach at 8pm tonight ? 
@flipkartsupport @FlipkartStories"
7,This is what happens with me I bought a watch from Flipkart with ₹ 530 MRP on it and Flipkart took it from me for ₹… https://t.co/GzZN4oaNvP
8,"iFFALCON 139 cm (55 inches) 4K Ultra HD Smart Certified Android LED TV 55K71 (Sliver) (2021 Model)

at Rs.36,999 🔥🔥… https://t.co/2gT53m8jii"
9,"Guys help me find any pharmacy in Patna which can courier oximeter to Hajipur?
My Di Jiju and both their kids are p… https://t.co/36Z33jLFuH"
10,I ordered a groceries on Flipkart but unfortunately in my grocery refined oil is leaked on all my product during de… https://t.co/qQ7yobCk2C
11,"Avoid buying TVs in flipkart by seeing great offers. I bought a tv with good offer, later they cancelled the order… https://t.co/KOPUarUSWu"
12,"Who is the founder of flipkart ?

For correct answer and complete description stay tuned with us......."
13,"Register Trademark for Your Brand.
#registernow #registration #registrations #trademark #trademarkregistration… https://t.co/DFI6GBXWsT"
14,"Donate 5 Kgs Oxygen Cylinder Refill @ 250 SuperCoins

https://t.co/6NRrvKaQDN

Donate 5 Hours Of Ambulance Service… https://t.co/SdbQlNkuwd"
15,The person wearing this ' Virus Shut Out ' card says mask definitely works. During difficult times man searches for… https://t.co/zARpier7F2
16,"#Realme85G First Sale in India Today With 10% HDFC Bank Discount Offer on Flipkart: Price, Specifications… https://t.co/G011Rb1yop"
17,"The #Realme85G sale is scheduled to take place today at 12 pm on https://t.co/hzH0Cminhc, @Flipkart and mainline ch… https://t.co/YHVtgQcVw5"
18,Hands down the craziest deal indeed!!! 🤣🤣🤣 @Flipkart #BigSavingDays https://t.co/U85bwy6wA9
19,"Realme 8 5G to head on sale lately at 12pm by the use of Flipkart - Times of India
https://t.co/Gf1JHfzLhS...
https://t.co/JKJ8o4mqnU"
20,"I ordered a product from @Flipkart on 17th April, at first my order is expected to be delivered till 23rd April &amp; t… https://t.co/ZmPIsjp67P"
21,"ETHealthworld | Prices of oxygen concentrators have almost doubled, while those of oximeters have increased by up t… https://t.co/U2KGnqBTeY"
22,"#realme85g first online sale today at 12 Noon, Check offers here

@realmeIndia #realme8 @Flipkart… https://t.co/cYuOIfvsKl"
23,Travancore Ayurveda Immunity Pack available now on one of the most popular e -commerce platform Flipkart. Immunity… https://t.co/aRZZzYwLhc
24,We thank you from the deepest of our hearts for initiating an excellent &amp; powerful movement @kunalb11🙌🏻 Glad to see… https://t.co/GWQN89r0d1
25,Hello Flipkart! @flipkartsupport @Flipkart  I ordered a Hindware RO purifier on 20/04/21. and it was expected to de… https://t.co/q6m5YS7T1l
26,"Title : Realme 8 5G to go on sale today at 12pm via Flipkart
Link : https://t.co/TWSgjrtENK
28/04/21  10:10:16"
27,"Ads gone wrong 🤣🤣
@Flipkart @flipkartsupport https://t.co/bSVGaU016J"
28,"Hey @Flipkart  which type of discount is this on mattress ??
🤭😅😅 https://t.co/zabiVg019x"
29,"Oppo A53s 5G has a 13-megapixel primary sensor on the back

HIGHLIGHTS

- Oppo A53s 5G starts at Rs. 14,990 in Indi… https://t.co/Iijr4Ks1z9"
30,"moto g60 with SD 732G, 108MP Camera for Rs 17,999 now available on #Flipkart https://t.co/jcoVNEnndW

₹1,500 Instan… https://t.co/tng1FTxkKr"
31,"🔥 Nokia 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo @48,749 With Hdfc Credit card

norm… https://t.co/gihNlP6sDN"
32,"realme 8 5G from ₹14,999 | Sale starts today at 12Pm. #Flipkart https://t.co/lbowwLdbG3

10% Instant Discount on HD… https://t.co/r7pCHzSND3"
33,Hello @Flipkart I got a courier today. I know its a fake offer but just wanted to bring it to your notice to confir… https://t.co/FfHBoWQyZE
34,CAIT petitions Goyal against foreign e-commerce firms #CAIT #Amazon #Flipkart #Walmart #Covid #RetailIndustry… https://t.co/BrmMS9neAm
35,"Why wait when you can buy electronics and accessories at up to 75% discount? @Flipkart
https://t.co/qDICwLp0ZZ"
36,"A minimalist design with smooth contours makes the #realmeMotionActivatedNightLight a smart purchase.

Get it from… https://t.co/xa8kUFUect"
37,"The #realme8 5G is up for grabs!
👉 MediaTek Dimensity 700 5G Processor
👉 8.5mm Super Slim 
👉 90Hz Ultra Smooth Disp… https://t.co/ILsE7eFdNB"
38,"U want to deliver or not !!!??? Either deliver or cancel it !! 
Delivery date was - 27 April, then 28 April, then 2… https://t.co/HpGdSxITHb"
39,".@RevolutApp is expanding into #India and has hired Paroma Chatterjee, a former exec at @Flipkart, to lead its oper… https://t.co/T5qJNprIDh"
40,"Hey @Flipkart, Please tell your delivery person not to be on the door to ask for feedback. Convey every delivery bo… https://t.co/3T6QEBxuY4"
41,Please Accept my Return request of the order asap . i will not be able to wait anymore now ! resolve the issue by t… https://t.co/u9Ue1AIC6M
42,"They cut price of ruppee 13,999 and gives new price of ruppee 17999 thinking it's an offer 
😂
@Flipkart https://t.co/vSO7YLpJxB"
43,"Flipkart seems to have hired goons as a delivery boy. If Speak to follow rules, threatens and runs away without del… https://t.co/4Fc7Ahsr6a"
44,"Flipkart seems to have hired goons as a delivery boy. If Speak to follow rules, threatens and runs away without del… https://t.co/HPn68SRlG8"
45,"When you bought something from palikabazar and forgot to remove price tag 🤣😂🤣

@Flipkart https://t.co/zuvsbksect"
46,"Where is token of apology for 2nd item?
@Flipkart"
47,"It's the time, @Flipkart @flipkartsupport @amazonIN have to deliver oxygen cylinders  online.
As COVID-19 going on,… https://t.co/dHIhu7ewfE"
48,Hii I M ORDERED ONE READMI PHONE ON FLIPKART. BUT PHONE CHARGING CASE IS NOT WORKING. AND MY PHONE ALSO NOT CHARG B… https://t.co/JhBlT1jRXY
49,"Dear @Flipkart
I wanted to know who will deliver this Baba Ramdeo or Flipkart CEO.

Delivery charge ₹ 749😡… https://t.co/31DSRo0l4O"
50,I was ordered a slip-on #FILA Sports shoes from @Flipkart @flipkartsupport and received a lace up sports shoes and… https://t.co/502ZPmkPgr
51,"#STAYFREE Dry Max All Night combo of 42 pads Sanitary Pad@331

https://t.co/lEN63FjIy5"
52,"Always Keep Yourself Active in #bumchums Loungers.
Shop @ https://t.co/EUtOLrvIlF
Also shop @Flipkart :… https://t.co/WbMUJIECFQ"
53,"It's a Matter of Comfort! Choose only RUPA Frontline.
Shop HUNK Gym Vest @ https://t.co/CR4VksSOBj
Also shop… https://t.co/8YsrsEKBow"
54,"#flipkart #jeeves
Purcahse a AC marq by flipkart. Delivered- 22 apr, installation scheduled-24 apr, but its 28 toda… https://t.co/iTL6xGH0pp"
55,Great flipkart @Flipkart @flipkartsupport i ordered Under Armour shorts got this fake product on which the tag is o… https://t.co/UuoaTyDnal
56,"hey @amazonIN @RedmiSupportIN 
My package is ""arriving today by 9 pm"" but it's not out for delivery yet. Worst trac… https://t.co/YjFed2wKf2"
57,"eBay India to Be Shut Down on August 14,.... #technology #technology #ilovetechnology https://t.co/gwNMY6bfAt https://t.co/frJ9L5RFLS"
58,Why dipesshhh texted  sushant friend abt Flipkart deal on June 14th morning wen SSR was not opening door ?… https://t.co/lBeKZnqFyt
59,"Here I completed the #KnockAndBalance Challenge 
💖💖Biggest wish to win💖💖
#ContestAlert #Contest 
#PanasonicACs… https://t.co/mpS2f7Z7z7"
60,"DELMOHUT Single i7 Wireless For All SmartPhone Bluetooth Headset with Mic Bluetooth Headset(White, In the Ear) Rs.… https://t.co/WJHEo2oAaF"
61,"Follow @S_R_Asia to see these fleets!
https://t.co/ISARzUXKjX
#skillsrediscovery #skills #edtech #Digital… https://t.co/CKsXT8UEOc"
62,IPL 2021 quiz question on Flipkart Quiz April 28 2021 give answers to win exciting prizes coupons vouchers supercoi… https://t.co/IFFVn7pDzv
63,"Flipkart Super Coins Use Chesi , Oxygen cylinders Donate cheyochu..!

Evari Daggara Super coins unna Donate cheyand… https://t.co/aF66k680Uj"
64,Extra ₹100 Off on Electronics &amp; Accessories (Rewards can be redeemed from 00:00 Hours 2nd May 2021 to 23:59 Hours 7… https://t.co/b7zzkHxwlA
65,IPL 2021 quiz question on Flipkart Quiz April 28 2021 give answers to win exciting prizes coupons vouchers supercoi… https://t.co/XYaoSzoSS6
66,"MarQ By Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load 

@ 5571 🔥With HDFC Credit Card + 300 Supercoins.

 🔗https://t.co/MM5EnfUVfG"
67,"Hard Water stains Remover on Amazon/Flipkart 

#Bangalore #Chennai #Mumbai #Delhi #Pune #Kolkata  #Hyderabad… https://t.co/L3gmKLg6B2"
68,You don't get such generous offers very often @Flipkart #Flipkart https://t.co/1RrPNM8ZbT
69,I ♥ this product on Flipkart! HUSSKINZ Men &amp; Women Graphic Print Ankle Length https://t.co/mddvz5NYE5… https://t.co/uW9Y3Aha72
70,Please stock in boult audio x1 red colour @Flipkart @FlipkartSellers @WorkAtFlipkart
71,Dear @flipkartsupport @flipkartsupport i just trusted you once more and accepted that you have became thrash. My de… https://t.co/b1AauohUiC
72,Flipkart Daily Trivia - Answers for 28th April 2021 - win gems -- Flipkart -- Rs. https://t.co/q5lkGxcyVS
73,Hey @Flipkart the product has an expected delivery date after 10 days and even on the delivery date it hasn't even… https://t.co/BSBZwKkLRv
74,What is this Xiaomi REDMI You launch REDMI NOTE 10 Base variant under 11999 Rs. But it is selling base variant in a… https://t.co/0b3OrwpBQl
75,"April 28 Flipkart Daily Trivia Quiz Answers: Answer to win exciting prizes
https://t.co/qMw07KOc2i"
76,#Flipkart | Extra 20 SuperCoins on a min. purchase of ₹150 on Flipkart + 10% Off on your first #Grocery Purchase.… https://t.co/LR8o02MRPV
77,purchased lg wing from https://t.co/ioVpRE6XSM not pay product i am pay 2 time 25500 but both time delivery boy his… https://t.co/DkL4m3paks
78,"Flipkart | Extra 20 SuperCoins on a min. purchase of ₹150 on Flipkart + 10% Off on your first Grocery Purchase.

Li… https://t.co/V6sjPYhsO7"
79,We have not yet heard anything from @Flipkart on grievance or on the order....It is one of the most irresponsible a… https://t.co/c7y7aPVoEg
80,"Title : Realme 8 5G First Sale in India Today at 12 Noon: All Details
Link : https://t.co/DsDg7cUHHd
28/04/21  08:34:31"
81,Do you all use Flipkart????? https://t.co/jSvRgvfxwm
82,"The Beauty Co. Charcoal Star Night Potion(25 ml) Rs.435 @ Flipkart
https://t.co/V0lt5IKcPq"
83,"Flipkart to acquire cleartrip..
https://t.co/bxzCDlAN6F

Join #ecoin #earnbysharingnews
https://t.co/TpESzfRHpg"
84,"If you use flipkart
You can donate 
*1kg of Oxygen Cylinder Refill by using 50 SuperCoins .
* 10Kgs Oxygen Cylinder… https://t.co/cwHZb28X2G"
85,Allow non essential items delivery to ecommerce many of people have work from home allow mobile and laptop sell  to… https://t.co/SrHyrHpe1S
86,"Link to buy sofa :-
Buy now for just 15,000
https://t.co/qo82FIKFVs https://t.co/Ko0F0mO249"
87,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition, available on @shroffpub and… https://t.co/88mQHWsPgy"
88,"Title : Realme 8 5G First Sale in India Today at 12 Noon: All Details
Link : https://t.co/DsDg7cUHHd
28/04/21  07:54:12"
89,#CoWin registration isnt like you have got vaccine. it is not a sale in amazon or flipkart that will close in secs.… https://t.co/0Ir28bLqyD
90,"Contribution of @Flipkart to help India fight against #Corona 
Product Price - Rs 545
Delivery Charge - Rs 749 (Noi… https://t.co/JFMsyQHUVE"
91,"𝑨𝒁𝑻𝑬𝑪 𝑺𝑬𝑪𝑹𝑬𝑻 𝑰𝑵𝑫𝑰𝑨𝑵 𝑯𝑬𝑨𝑳𝑰𝑵𝑮 𝑪𝑳𝑨𝒀

☑️➡️Suitable for all skin types, best used for oily skin.

𝗔𝘇𝘁𝗲𝗰 𝗦𝗲𝗰𝗿𝗲𝘁 𝗔𝗽𝗽𝗹𝗲 𝗖𝗶𝗱… https://t.co/dfOYjPTHy4"
92,Realme 8 5G First Sale in India Today at 12 Noon: All Details https://t.co/FpSdfbHJoK https://t.co/2P0BFVZQhu
93,"Realme 8 5G goes on sale in India today

https://t.co/IV78PlHTe2"
