,snapdeal_tweets
0,"Heartbroken to share that our colleague of 9 years, Avijit Basu passed away a short while back, due to Covid compli… https://t.co/Z25wmPrQyD"
1,"We have waived shipping charges on all products (incl. essentials) on the @snapdeal app.

Valid for prepaid &amp; COD o… https://t.co/O5ap2eBmn4"
2,@HarjotPal4 Getting this checked with the concerned team and will update you. Thanks! Ashi
3,"@BasavarajKandri Hi! Please elaborate on what went wrong via ""Private Message"" by clicking the below link. We’d lik… https://t.co/OvfUPun7tg"
4,@Snapdeal_Help  I am basavaraj kandri. Please help me.
5,@Snapdeal_Help Work on this report as soon as possible
6,@HarjotPal4 We always request our customers to never share their personal details publicly as our page is visible t… https://t.co/7MYoFvgcpk
7,@HarjotPal4 Hi! Apologies for the experience you have been through. This should not have happened. We'll get this c… https://t.co/2e0rbqUKWb
8,"@AmazonHelp @JeffBezos @havellsindia @AmitAgarwal @Flipkart @snapdeal Manufacturer already in loop, get ready for c… https://t.co/UPBgvbmSYZ"
9,@Sanpdeal3 Snapdeal is a fake companyThis company does not retrun ouprvou nhi krdi anyone but hePlease do not rely… https://t.co/iINFc1e1Ja
10,"@Snapdeal_Help Hi Ashi,
There was nothing wrong with the service you are offering. I am probably NOT your target cu… https://t.co/BfMjyL1bD8"
11,"@AntoWilliam13 Hi! Please elaborate on what went wrong via ""Private Message"" by clicking the below link. We’d like… https://t.co/Lmz6Mdy7R8"
12,@Deepank25190448 So sorry to disappoint you. I'll get this checked and our concern team will contact you soon. Thanks! Avi
13,@snapdeal what is this nonsense. Who told you for pick up product. https://t.co/cSXgqURVse
14,I checked out @snapdeal just because of @geneliad &amp; @Riteishd but still didn't buy a single product from the website. 😶
15,@mmcmemorycards @ExportersIndia @Paytm @PaytmMall @snapdeal @payumoney @Wefast @instagram @YouTube @GooglePay… https://t.co/4zJE7U7LYF
16,"RT @snapdeal: Snapdeal always promises to give you out-of-the-box deals, now with the added comfort of ZERO shipping charges! 😉So, what are…"
17,"RT @snapdeal: Snapdeal always promises to give you out-of-the-box deals, now with the added comfort of ZERO shipping charges! 😉So, what are…"
18,"RT @snapdeal: Snapdeal always promises to give you out-of-the-box deals, now with the added comfort of ZERO shipping charges! 😉So, what are…"
19,"@pradeep_pcs Hi! Apologies for this experience, please reach out to us via ""Private Message"" to share your details… https://t.co/9ia5GBZH2f"
20,"Owner of @snapdeal lost his aunt due to shortage of oxygen. Condolences.

When people with resources are affected t… https://t.co/D7ZI49ayqL"
21,@snapdeal very bad quality oximeter in your website and app. You are also not replacing or returning this product e… https://t.co/YBvuTUBeeJ
22,"Snapdeal always promises to give you out-of-the-box deals, now with the added comfort of ZERO shipping charges! 😉So… https://t.co/ft7sHxAbuf"
23,@Ash47867985 @MaharashtraMaz6 He was a no.1 chu# which was evident when he endorsed the backlash against Aamir &amp; Sn… https://t.co/vmPN6YpetP
24,"Rahul Phate Radiant Glow Gold Facial Kit Big Size 150 g
Nourish and revitalize your skin using Rahul Phate's Radian… https://t.co/hJDUEM84Wt"
25,"@rpandith07 We always strive hard to make sure that our customers are happy with our products &amp; services. Further,… https://t.co/zuoZNiG1sU"
26,"t's good that your team cancelled the order, your don't deserve any respect when you don't deliver, and its repeate… https://t.co/eohq45f77N"
